#source_X source_Y lens_X lens_Y separation f1_ratio chi^2
896.689453 822.574280 890.337708 824.228333 65.241966247558594 0.850610495 787.18753231297717
896.684387 822.599915 890.184387 824.408813 67.065254211425781 0.841160893 788.25747567838152
896.609375 822.613708 890.050415 824.473755 67.766983032226562 0.850467443 784.35551636737591
896.664001 822.592773 889.967834 824.353821 68.823242187500000 0.849376380 785.90366668097647
896.643860 822.636536 890.116455 824.321899 67.010238647460938 0.852763891 781.60806391203585
896.621277 822.608948 890.078430 824.488037 67.664909362792969 0.855583310 781.85292712299417
896.668518 822.614075 890.140991 824.396057 67.257942199707031 0.851294696 782.21564090531763
896.645081 822.601013 890.049500 824.545593 68.350112915039062 0.854111314 783.51578211055812
896.625916 822.616333 890.097168 824.496582 67.533416748046875 0.865239441 789.95288121253782
896.602844 822.584534 890.142822 824.350769 66.569412231445312 0.862827897 788.17400913866106
896.587463 822.618896 889.957458 824.350769 68.113555908203125 0.851477146 787.38042628061692
896.580994 822.634521 889.998047 824.310791 67.522583007812500 0.855803132 786.35572176677624
896.647644 822.599487 889.934509 824.194702 68.586639404296875 0.857957304 786.35140093256041
896.665161 822.630920 890.114258 824.041504 66.608444213867188 0.853288591 786.04958965735386
896.647339 822.576782 890.203430 824.237671 66.145828247070312 0.852051616 783.11553759328513
896.617493 822.638672 890.072937 824.218506 66.921440124511719 0.860742688 785.28279112805387
896.634277 822.651489 890.170044 824.365417 66.474639892578125 0.859125018 786.48713522211972
896.572754 822.606689 890.034180 824.550476 67.804542541503906 0.857822180 787.31676680907742
896.617126 822.645691 890.079773 824.529175 67.624519348144531 0.860497713 787.34501706838410
896.656738 822.605530 890.233887 824.582886 66.800163269042969 0.851743042 785.86706793985866
896.604797 822.616272 890.049194 824.443298 67.646026611328125 0.851640403 783.75682763892098
896.664734 822.594910 890.029968 824.420593 68.400802612304688 0.855680764 784.51057896467989
896.617493 822.618469 890.067749 824.306396 67.231620788574219 0.862828672 785.41451583500884
896.582825 822.625793 890.092285 824.288757 66.599891662597656 0.860009849 786.24515583159689
896.686401 822.600342 890.116577 824.408386 67.731895446777344 0.853512764 786.02288847228476
896.688293 822.632690 890.187683 824.311279 66.735527038574219 0.848221600 784.47279471936622
896.629150 822.588318 890.237000 824.352783 65.914215087890625 0.844494104 785.04356797772948
896.626282 822.630615 890.287292 824.483887 65.647209167480469 0.850180686 785.70866362526363
896.605286 822.601196 890.107056 824.516479 67.339591979980469 0.849838853 785.52625739117502
896.644348 822.604797 890.195740 824.424011 66.601028442382812 0.842521906 786.62558465428720
896.652649 822.652893 890.329712 824.243469 64.808082580566406 0.854531884 787.01126077736410
896.666443 822.601379 890.211060 824.057373 65.778388977050781 0.845990419 785.35025325525726
896.673401 822.656372 890.348328 823.905701 64.085922241210938 0.846497834 790.95748823389295
896.681763 822.616333 890.438782 824.080200 63.738353729248047 0.854119003 790.66536538427488
896.699097 822.599365 890.449585 824.183777 64.085449218750000 0.855576813 795.01480223525152
896.642456 822.625122 890.391907 824.073059 63.775680541992188 0.852030218 786.41922295573477
896.657288 822.653625 890.248962 824.259399 65.668075561523438 0.844906271 786.18129234701166
896.650085 822.604614 890.259949 824.252869 65.596908569335938 0.849252343 780.79325457672678
896.613708 822.599915 890.221008 824.285461 65.715118408203125 0.852297485 782.32511003981006
896.626160 822.626770 890.207336 824.225952 65.753433227539062 0.845836759 784.76148991989419
896.679443 822.628052 890.281067 824.220581 65.540237426757812 0.846175849 782.87332526434056
896.643921 822.559326 890.143066 824.347656 67.018920898437500 0.852229893 785.12369206187691
896.646301 822.617737 890.024170 824.422974 68.225990295410156 0.855728388 782.04689778318311
896.654053 822.648499 890.189209 824.264282 66.237220764160156 0.853137136 783.37532358040414
896.638855 822.602539 890.320801 824.277771 64.971572875976562 0.852071285 782.04643581660787
896.655518 822.633240 890.487915 824.228149 63.322601318359375 0.843192160 787.75335889429459
896.720764 822.577332 890.350403 824.244629 65.454261779785156 0.843232512 789.82681891417542
896.622009 822.570862 890.224609 824.216675 65.660774230957031 0.853776455 785.46015889879141
896.685486 822.643677 890.169128 824.116760 66.407005310058594 0.847087562 786.26103930676311
896.684082 822.602051 890.340332 824.069153 64.721191406250000 0.846503317 784.95350145387897
896.655457 822.608276 890.282043 824.075195 65.008087158203125 0.853796959 784.99064505366812
